Date,Reuse,ReusePart,New,Total
1100,3,2,5,10
1101,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1110,0,0,0,0
1111,0,0,0,0
1112,0,0,0,0
1113,0,0,0,0
1114,0,0,0,0
1115,0,0,0,0
1116,0,0,1,1
1117,0,0,0,0
1118,0,0,0,0
1119,0,0,0,0
1120,1,0,0,1
1121,1,1,0,2
1122,3,0,0,3
1123,4,0,2,6
1124,1,0,1,2
1125,0,1,1,2
1126,0,0,0,0
1127,0,0,0,0
1128,0,0,0,0
1129,0,0,2,2
1130,0,0,1,1
1131,3,0,4,7
1132,1,0,0,1
1133,0,0,1,1
1134,0,0,0,0
1135,0,0,4,4
1136,0,0,0,0
1137,1,0,1,2
1138,0,0,1,1
1139,0,0,0,0
1140,0,0,0,0
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,0,0,0,0
1147,0,0,0,0
1148,0,0,0,0
1149,0,0,0,0
1150,8,2,13,23
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,1,1
1154,38,3,34,75
1155,2,0,2,4
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,1,1
1159,0,0,1,1
1160,9,0,20,29
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,0,0,0,0
1165,0,0,0,0
1166,0,0,1,1
1167,0,0,0,0
1168,0,0,0,0
1169,0,0,0,0
1170,3,1,4,8
1171,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,1,0,0,1
1175,372,62,384,818
1176,0,0,1,1
1177,0,0,2,2
1178,0,0,1,1
1179,0,0,0,0
1180,3,0,0,3
1181,0,0,0,0
1182,0,0,1,1
1183,1,0,1,2
1184,0,0,0,0
1185,2,0,2,4
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,0,0
1189,1,0,4,5
1190,0,0,2,2
1191,0,0,0,0
1192,0,0,0,0
1193,0,0,0,0
1194,1,0,2,3
1195,0,0,1,1
1196,0,0,0,0
1197,0,0,0,0
1198,0,0,2,2
1199,0,0,1,1
1200,1076,143,918,2137
1201,1,0,2,3
1202,0,0,2,2
1203,0,0,0,0
1204,0,0,0,0
1205,836,69,674,1579
1206,0,0,2,2
1207,0,0,1,1
1208,0,0,1,1
1209,0,0,0,0
1210,2,1,4,7
1211,0,0,0,0
1212,0,0,1,1
1213,0,0,0,0
1214,0,0,1,1
1215,0,0,1,1
1216,0,0,0,0
1217,0,0,0,0
1218,0,0,0,0
1219,0,0,0,0
1220,126,13,96,235
1221,0,0,0,0
1222,0,0,2,2
1223,0,0,0,0
1224,0,0,1,1
1225,1229,193,1000,2422
1226,0,0,4,4
1227,1,0,1,2
1228,2,0,7,9
1229,0,0,1,1
1230,232,28,173,433
1231,0,0,1,1
1232,0,0,1,1
1233,0,0,0,0
1234,2,0,0,2
1235,1,0,13,14
1236,0,0,1,1
1237,0,0,0,0
1238,0,0,0,0
1239,0,0,0,0
1240,130,23,75,228
1241,0,0,2,2
1242,0,0,0,0
1243,0,0,2,2
1244,0,0,0,0
1245,0,0,1,1
1246,2,0,0,2
1247,0,0,0,0
1248,0,0,1,1
1249,0,0,0,0
1250,839,86,549,1474
1251,0,0,5,5
1252,0,0,1,1
1253,3,0,2,5
1254,0,0,0,0
1255,4,0,1,5
1256,1,0,0,1
1257,0,0,1,1
1258,6,2,4,12
1259,0,0,4,4
1260,6,0,7,13
1261,0,0,1,1
1262,0,0,0,0
1263,1,0,4,5
1264,1,0,3,4
1265,11,1,53,65
1266,0,0,1,1
1267,0,0,0,0
1268,0,0,0,0
1269,0,0,0,0
1270,6,0,6,12
1271,0,1,0,1
1272,11,0,11,22
1273,0,0,0,0
1274,1,0,3,4
1275,286,37,186,509
1276,0,0,2,2
1277,0,1,3,4
1278,2,0,4,6
1279,2,0,2,4
1280,6,0,16,22
1281,2,0,2,4
1282,0,0,1,1
1283,1,0,1,2
1284,2,0,4,6
1285,1,0,3,4
1286,0,0,0,0
1287,0,0,3,3
1288,0,0,2,2
1289,1,0,3,4
1290,484,37,330,851
1291,0,0,3,3
1292,10,1,17,28
1293,0,1,6,7
1294,0,0,1,1
1295,5,1,13,19
1296,2,0,7,9
1297,754,63,391,1208
1298,2,1,3,6
1299,2,1,8,11
1300,3978,495,1859,6332
1301,5,2,3,10
1302,4,1,5,10
1303,328,69,231,628
1304,1,0,2,3
1305,139,10,71,220
1306,5,0,5,10
1307,14,1,17,32
1308,8,2,10,20
1309,6,1,6,13
1310,122,11,72,205
1311,8,3,10,21
1312,0,1,2,3
1313,3,0,6,9
1314,63,10,44,117
1315,198,35,140,373
1316,6,1,5,12
1317,0,0,1,1
1318,4,0,2,6
1319,1,0,2,3
1320,372,29,170,571
1321,0,0,1,1
1322,4,0,6,10
1323,8,1,3,12
1324,3,1,9,13
1325,677,108,452,1237
1326,2,1,6,9
1327,23,3,27,53
1328,2,0,3,5
1329,0,1,9,10
1330,1157,129,446,1732
1331,2,0,8,10
1332,0,0,3,3
1333,9,3,3,15
1334,1,0,6,7
1335,2,2,6,10
1336,6,2,18,26
1337,5,0,4,9
1338,134,13,50,197
1339,0,1,3,4
1340,2098,398,841,3337
1341,2,1,6,9
1342,1,0,4,5
1343,8,0,7,15
1344,2,0,4,6
1345,2,1,7,10
1346,6,0,10,16
1347,10,1,4,15
1348,0,0,5,5
1349,8,1,4,13
1350,436,45,181,662
1351,1,1,1,3
1352,42,6,20,68
1353,1,0,4,5
1354,3,0,10,13
1355,3,0,5,8
1356,11,1,17,29
1357,30,7,19,56
1358,3,1,6,10
1359,2,0,8,10
1360,16,0,17,33
1361,1,0,5,6
1362,341,41,189,571
1363,1,0,7,8
1364,2,1,4,7
1365,6,1,9,16
1366,144,11,83,238
1367,0,1,8,9
1368,9,1,11,21
1369,81,9,46,136
1370,33,6,24,63
1371,11,0,9,20
1372,4,1,3,8
1373,4,0,8,12
1374,973,199,549,1721
1375,1566,237,580,2383
1376,3,1,9,13
1377,651,79,276,1006
1378,8,0,9,17
1379,18,0,15,33
1380,1191,240,482,1913
1381,58,2,37,97
1382,1883,407,951,3241
1383,13,3,7,23
1384,205,28,69,302
1385,250,17,56,323
1386,1603,217,608,2428
1387,848,141,399,1388
1388,418,103,166,687
1389,84,7,34,125
1390,813,54,260,1127
1391,195,19,69,283
1392,24,1,21,46
1393,640,73,216,929
1394,76,14,34,124
1395,68,19,36,123
1396,13,3,11,27
1397,18,3,9,30
1398,1143,299,630,2072
1399,183,16,62,261
1400,6595,824,2320,9739
1401,55,9,27,91
1402,64,10,23,97
1403,13,4,13,30
1404,18,1,23,42
1405,11,1,7,19
1406,27,3,8,38
1407,49,10,22,81
1408,18,6,23,47
1409,4,1,5,10
1410,152,37,61,250
1411,24,4,27,55
1412,267,31,133,431
1413,191,48,79,318
1414,31,6,10,47
1415,45,6,33,84
1416,8,1,8,17
1417,46,6,14,66
1418,34,2,21,57
1419,22,2,14,38
1420,778,134,436,1348
1421,35,3,19,57
1422,148,34,75,257
1423,128,13,42,183
1424,45,4,23,72
1425,705,116,390,1211
1426,183,28,71,282
1427,31,1,14,46
1428,40,7,15,62
1429,63,12,31,106
1430,1185,160,477,1822
1431,20,5,5,30
1432,360,127,248,735
1433,66,6,18,90
1434,35,12,23,70
1435,129,28,61,218
1436,63,20,47,130
1437,14,4,8,26
1438,15,5,19,39
1439,63,5,24,92
1440,2371,532,1179,4082
1441,7,4,4,15
1442,36,1,23,60
1443,18,3,14,35
1444,44,6,21,71
1445,35,10,27,72
1446,20,0,12,32
1447,158,39,75,272
1448,36,5,20,61
1449,271,99,146,516
1450,1737,297,795,2829
1451,35,12,19,66
1452,30,4,13,47
1453,22,11,21,54
1454,46,7,15,68
1455,64,7,38,109
1456,184,28,84,296
1457,23,3,14,40
1458,27,3,9,39
1459,45,6,30,81
1460,699,107,284,1090
1461,86,20,34,140
1462,36,4,22,62
1463,107,12,38,157
1464,69,4,35,108
1465,84,11,47,142
1466,69,13,23,105
1467,96,21,54,171
1468,37,11,13,61
1469,42,6,20,68
1470,843,134,288,1265
1471,208,49,105,362
1472,61,12,31,104
1473,72,4,33,109
1474,153,30,88,271
1475,402,78,226,706
1476,22,2,4,28
1477,311,84,126,521
1478,40,3,28,71
1479,52,8,33,93
1480,333,62,190,585
1481,366,59,180,605
1482,131,28,55,214
1483,972,196,532,1700
1484,144,29,55,228
1485,351,67,176,594
1486,310,54,143,507
1487,63,6,27,96
1488,72,16,37,125
1489,358,40,113,511
1490,268,63,154,485
1491,130,41,70,241
1492,29,9,21,59
1493,42,9,33,84
1494,422,110,111,643
1495,188,48,108,344
1496,121,20,77,218
1497,82,15,45,142
1498,25,3,13,41
1499,51,14,30,95
1500,1594,222,799,2615
1501,84,10,50,144
1502,275,63,128,466
1503,137,24,54,215
1504,41,9,32,82
1505,57,7,35,99
1506,58,6,37,101
1507,42,6,20,68
1508,266,34,99,399
1509,451,75,118,644
1510,153,24,45,222
1511,107,16,51,174
1512,86,20,45,151
1513,1064,148,353,1565
1514,101,13,41,155
1515,134,20,74,228
1516,54,5,29,88
1517,38,12,23,73
1518,44,4,16,64
1519,161,31,84,276
1520,154,35,75,264
1521,68,21,32,121
1522,87,21,45,153
1523,669,101,255,1025
1524,53,6,46,105
1525,209,35,87,331
1526,1021,201,238,1460
1527,96,35,82,213
1528,304,78,163,545
1529,527,97,236,860
1530,1689,295,620,2604
1531,347,75,134,556
1532,426,96,179,701
1533,848,148,321,1317
1534,352,70,112,534
1535,1007,176,405,1588
1536,283,69,136,488
1537,117,35,62,214
1538,605,107,255,967
1539,187,46,74,307
1540,445,98,205,748
1541,404,117,266,787
1542,528,96,224,848
1543,191,59,103,353
1544,141,19,78,238
1545,424,106,204,734
1546,291,59,127,477
1547,482,114,216,812
1548,1417,345,528,2290
1549,647,160,271,1078
1550,583,127,321,1031
1551,448,92,199,739
1552,769,257,411,1437
1553,624,124,223,971
1554,112,23,60,195
1555,849,133,319,1301
1556,260,82,120,462
1557,400,63,137,600
1558,220,50,125,395
1559,328,50,136,514
1560,689,100,195,984
1561,581,185,209,975
1562,578,94,346,1018
1563,693,118,281,1092
1564,167,40,77,284
1565,598,107,293,998
1566,336,69,171,576
1567,657,113,265,1035
1568,523,76,182,781
1569,205,56,135,396
1570,1023,207,480,1710
1571,408,128,170,706
1572,375,70,195,640
1573,576,73,223,872
1574,350,78,138,566
1575,589,89,211,889
1576,686,126,222,1034
1577,1277,185,523,1985
1578,749,130,566,1445
1579,1127,182,442,1751
1580,758,201,352,1311
1581,1003,182,323,1508
1582,528,97,220,845
1583,700,142,350,1192
1584,391,80,159,630
1585,507,84,255,846
1586,1280,298,478,2056
1587,647,119,285,1051
1588,970,150,296,1416
1589,1051,184,438,1673
1590,1635,190,441,2266
1591,1247,235,520,2002
1592,1307,227,475,2009
1593,1278,261,451,1990
1594,1184,242,470,1896
1595,489,74,192,755
1596,1618,220,548,2386
1597,1450,290,745,2485
1598,1753,455,1031,3239
1599,1522,353,739,2614
1600,1708,347,763,2818
1601,1769,253,748,2770
1602,1182,208,388,1778
1603,1251,321,542,2114
1604,841,162,263,1266
1605,1400,273,480,2153
1606,918,197,347,1462
1607,1527,314,645,2486
1608,632,139,257,1028
1609,739,188,360,1287
1610,1286,305,596,2187
1611,2863,1023,1590,5476
1612,922,256,429,1607
1613,943,179,395,1517
1614,647,161,307,1115
1615,924,225,445,1594
1616,688,141,309,1138
1617,499,126,209,834
1618,490,117,281,888
1619,378,100,156,634
1620,534,159,288,981
1621,710,177,333,1220
1622,658,151,325,1134
1623,523,267,418,1208
1624,575,178,266,1019
1625,745,160,343,1248
1626,926,197,352,1475
1627,578,155,242,975
1628,721,185,233,1139
1629,302,63,144,509
1630,545,147,286,978
1631,680,178,283,1141
1632,768,191,281,1240
1633,773,209,287,1269
1634,730,159,305,1194
1635,593,133,217,943
1636,223,62,112,397
1637,450,131,207,788
1638,679,182,233,1094
1639,506,108,174,788
1640,589,169,300,1058
1641,954,303,396,1653
1642,743,199,284,1226
1643,559,177,191,927
1644,572,174,253,999
1645,637,143,234,1014
1646,956,464,491,1911
1647,1013,273,461,1747
1648,687,223,362,1272
1649,793,208,287,1288
1650,752,210,337,1299
1651,847,266,321,1434
1652,768,276,424,1468
1653,713,218,378,1309
1654,745,267,336,1348
1655,631,176,288,1095
1656,1283,464,879,2626
1657,683,340,567,1590
1658,834,227,376,1437
1659,663,234,281,1178
1660,882,281,342,1505
1661,744,231,437,1412
1662,651,184,294,1129
1663,505,97,191,793
1664,748,200,354,1302
1665,734,181,243,1158
1666,353,103,165,621
1667,1105,182,250,1537
1668,600,147,343,1090
1669,509,134,230,873
1670,600,153,279,1032
1671,503,105,210,818
1672,408,89,215,712
1673,406,101,201,708
1674,789,181,347,1317
1675,384,91,170,645
1676,590,150,288,1028
1677,808,186,312,1306
1678,695,221,390,1306
1679,364,65,165,594
1680,478,116,204,798
1681,624,168,362,1154
1682,465,129,257,851
1683,541,103,280,924
1684,447,152,264,863
1685,306,86,161,553
1686,352,57,164,573
1687,432,76,192,700
1688,703,124,387,1214
1689,193,49,110,352
1690,402,77,156,635
1691,508,132,194,834
1692,414,76,116,606
1693,544,123,351,1018
1694,393,78,200,671
1695,293,55,122,470
1696,244,38,154,436
1697,840,97,244,1181
1698,360,64,196,620
1699,310,40,144,494
1700,834,94,314,1242
1701,206,70,87,363
1702,327,63,127,517
1703,357,51,171,579
1704,583,84,254,921
1705,309,60,133,502
1706,705,117,484,1306
1707,387,60,201,648
1708,360,54,192,606
1709,465,72,152,689
1710,402,79,178,659
1711,629,114,312,1055
1712,565,56,184,805
1713,319,70,138,527
1714,258,42,99,399
1715,359,50,143,552
1716,331,103,161,595
1717,174,29,54,257
1718,300,26,70,396
1719,342,44,127,513
1720,267,51,104,422
1721,367,74,181,622
1722,257,38,105,400
1723,110,30,88,228
1724,208,27,103,338
1725,591,61,241,893
1726,377,63,133,573
1727,1003,458,503,1964
1728,510,75,210,795
1729,159,29,76,264
1730,298,93,159,550
1731,282,87,226,595
1732,255,40,76,371
1733,193,57,114,364
1734,255,62,133,450
1735,252,31,72,355
1736,220,34,112,366
1737,223,49,98,370
1738,173,32,107,312
1739,140,25,57,222
1740,162,42,123,327
1741,262,49,126,437
1742,345,67,125,537
1743,186,44,122,352
1744,205,39,112,356
1745,190,36,85,311
1746,253,45,81,379
1747,293,37,144,474
1748,554,116,223,893
1749,270,46,83,399
1750,293,56,142,491
1751,366,63,141,570
1752,233,61,153,447
1753,604,121,471,1196
1754,236,55,126,417
1755,428,125,173,726
1756,386,53,184,623
1757,213,47,110,370
1758,271,53,126,450
1759,209,36,114,359
1760,385,82,228,695
1761,173,34,79,286
1762,299,54,147,500
1763,223,45,120,388
1764,253,34,104,391
1765,337,54,141,532
1766,359,61,191,611
1767,224,50,114,388
1768,407,70,199,676
1769,461,53,260,774
1770,243,52,129,424
1771,349,48,156,553
1772,214,48,125,387
1773,229,42,154,425
1774,490,85,305,880
1775,476,203,466,1145
1776,416,69,262,747
1777,281,43,171,495
1778,315,70,175,560
1779,248,37,98,383
1780,252,45,125,422
1781,350,42,144,536
1782,287,70,154,511
1783,174,34,142,350
1784,370,63,168,601
1785,474,66,269,809
1786,319,52,192,563
1787,325,67,217,609
1788,376,73,195,644
1789,464,78,217,759
1790,512,105,242,859
1791,518,94,248,860
1792,307,60,188,555
1793,454,81,253,788
1794,693,155,376,1224
1795,363,93,184,640
1796,829,196,445,1470
1797,571,133,304,1008
1798,412,81,210,703
1799,476,106,312,894
1800,590,144,328,1062
1801,455,105,298,858
1802,581,174,349,1104
1803,366,115,246,727
1804,357,103,225,685
1805,523,119,334,976
1806,435,99,220,754
1807,449,98,279,826
1808,515,82,267,864
1809,403,96,238,737
1810,357,82,238,677
1811,413,89,282,784
1812,773,124,328,1225
1813,524,111,307,942
1814,471,114,263,848
1815,561,99,321,981
1816,678,208,397,1283
1817,572,136,351,1059
1818,831,231,450,1512
1819,623,160,462,1245
1820,655,148,396,1199
1821,612,165,369,1146
1822,749,233,547,1529
1823,832,184,488,1504
1824,672,193,438,1303
1825,1081,182,594,1857
1826,712,190,544,1446
1827,638,187,395,1220
1828,1038,315,600,1953
1829,569,158,374,1101
1830,795,242,604,1641
1831,754,236,503,1493
1832,814,200,493,1507
1833,855,199,539,1593
1834,763,218,601,1582
1835,822,204,760,1786
1836,886,263,719,1868
1837,1106,303,737,2146
1838,693,181,538,1412
1839,1032,274,901,2207
1840,949,235,670,1854
1841,757,198,479,1434
1842,913,228,751,1892
1843,725,235,551,1511
1844,815,206,548,1569
1845,910,259,683,1852
1846,923,380,811,2114
1847,1014,388,816,2218
1848,976,228,648,1852
1849,900,290,724,1914
1850,1015,239,663,1917
1851,1155,265,762,2182
1852,676,194,569,1439
1853,781,203,570,1554
1854,863,264,729,1856
1855,1003,303,672,1978
1856,964,252,626,1842
1857,782,248,821,1851
1858,877,261,792,1930
1859,1105,286,760,2151
1860,1116,306,767,2189
1861,1010,280,709,1999
1862,1024,267,687,1978
1863,926,237,643,1806
1864,1207,389,832,2428
1865,1198,403,838,2439
1866,1016,308,893,2217
1867,843,234,583,1660
1868,826,208,661,1695
1869,745,242,528,1515
1870,872,257,596,1725
1871,794,214,513,1521
1872,810,238,578,1626
1873,732,236,515,1483
1874,733,194,602,1529
1875,1243,290,1023,2556
1876,1023,314,866,2203
1877,890,236,853,1979
1878,804,205,645,1654
1879,1011,259,780,2050
1880,1205,382,995,2582
1881,1239,437,996,2672
1882,1265,498,1070,2833
1883,1504,457,1081,3042
1884,1578,436,1257,3271
1885,1109,341,909,2359
1886,1052,370,800,2222
1887,1114,335,908,2357
1888,1295,377,921,2593
1889,1183,378,962,2523
1890,1262,384,1052,2698
1891,1150,367,960,2477
1892,919,255,715,1889
1893,900,258,656,1814
1894,846,243,677,1766
1895,940,257,847,2044
1896,833,205,623,1661
1897,962,241,696,1899
1898,848,201,677,1726
1899,826,211,700,1737
1900,823,216,713,1752
1901,648,187,597,1432
1902,773,203,636,1612
1903,731,183,556,1470
1904,673,172,544,1389
1905,586,182,544,1312
1906,571,162,443,1176
1907,507,143,454,1104
1908,623,148,450,1221
1909,752,256,692,1700
1910,437,103,377,917
1911,503,116,411,1030
1912,421,92,292,805
1913,426,114,358,898
1914,490,85,287,862
1915,382,101,238,721
1916,399,100,287,786
1917,332,58,244,634
1918,327,76,236,639
1919,427,85,238,750
1920,481,163,391,1035
1921,451,148,382,981
1922,586,148,421,1155
1923,551,155,429,1135
1924,439,115,344,898
1925,479,111,395,985
1926,632,191,476,1299
1927,621,181,499,1301
1928,676,176,491,1343
1929,557,129,362,1048
1930,664,151,438,1253
1931,527,140,379,1046
1932,532,133,414,1079
1933,566,153,401,1120
1934,753,259,552,1564
1935,568,115,392,1075
1936,565,164,417,1146
1937,613,154,472,1239
1938,560,148,396,1104
1939,498,115,353,966
1940,458,141,408,1007
1941,426,115,315,856
1942,544,95,293,932
1943,385,102,231,718
1944,298,104,228,630
1945,403,96,263,762
1946,472,137,381,990
1947,399,111,300,810
1948,443,106,326,875
1949,457,166,375,998
1950,433,138,368,939
1951,457,154,334,945
1952,414,140,316,870
1953,438,149,342,929
1954,385,114,302,801
1955,505,139,376,1020
1956,426,143,331,900
1957,516,185,369,1070
1958,632,177,428,1237
1959,787,247,547,1581
1960,587,203,478,1268
1961,724,271,478,1473
1962,617,180,422,1219
1963,490,178,349,1017
1964,418,166,365,949
1965,458,157,334,949
1966,508,144,346,998
1967,505,150,324,979
1968,525,162,321,1008
1969,511,160,284,955
1970,490,160,269,919
1971,488,173,223,884
1972,423,153,212,788
1973,390,129,230,749
1974,341,115,179,635
1975,361,113,187,661
1976,474,142,214,830
1977,410,109,179,698
1978,231,78,107,416
1979,207,48,93,348
1980,198,47,67,312
1981,137,34,67,238
1982,166,49,75,290
1983,141,37,62,240
1984,147,36,47,230
1985,113,38,45,196
1986,107,24,43,174
1987,87,19,26,132
1988,52,9,27,88
1989,85,9,17,111
1990,52,3,14,69
1991,46,6,13,65
1992,14,5,3,22
1993,21,0,2,23
1994,4,0,0,4
1995,0,0,0,0
1996,0,0,0,0
1997,4,0,3,7
1998,0,1,0,1
1999,0,0,0,0
2000,0,1,0,1
